"bfi_1"	"bfi_2"	"bfi_3"	"bfi_4"	"bfi_5"	"bfi_6"	"bfi_7"	"bfi_8"	"bfi_9"	"bfi_10"	"bfi_11"	"bfi_12"	"bfi_13"	"bfi_14"	"bfi_15"	"bfi_16"	"bfi_17"	"bfi_18"	"bfi_19"	"bfi_20"	"bfi_21"	"bfi_22"	"bfi_23"	"bfi_24"	"bfi_25"	"bfi_26"	"bfi_27"	"bfi_28"	"bfi_29"	"bfi_30"	"bfi_31"	"bfi_32"	"bfi_33"	"bfi_34"	"bfi_35"	"bfi_36"	"bfi_37"	"bfi_38"	"bfi_39"	"bfi_40"	"bfi_41"	"bfi_42"	"bfi_43"	"bfi_44"	"AgainstAbortion"	"AgainstGayMarriage"	"AgainstUniversalHealthcare"	"AgainstTaxingTheRich"	"ConservativeIdeology"	"PoliticalInterest"	"Vote"	"YearOfBirth"	"Gender"	"Race"	"EducationLevel"	"IncomeLevel"	"State"
"neither agree nor disagree"	"disagree a little"	"agree strongly"	"disagree strongly "	"agree a little"	"neither agree nor disagree"	"agree a little"	"neither agree nor disagree"	"agree strongly"	"agree strongly"	"agree a little"	"disagree a little"	"agree strongly"	"disagree strongly "	"agree a little"	"agree a little"	"agree a little"	"neither agree nor disagree"	"disagree strongly "	"agree a little"	"neither agree nor disagree"	"agree a little"	"disagree a little"	"agree strongly"	"agree a little"	"neither agree nor disagree"	"disagree a little"	"agree a little"	"disagree strongly "	"agree a little"	"neither agree nor disagree"	"agree a little"	"agree a little"	"agree strongly"	"disagree a little"	"neither agree nor disagree"	"disagree strongly "	"agree a little"	"disagree strongly "	"agree a little"	"disagree a little"	"agree strongly"	"neither agree nor disagree"	"disagree a little"	"abortion should be legal with some restrictions."	"strongly favor"	"health insurance should be voluntary"	"strongly oppose"	"moderate"	"very much interested"	"i voted for john mccain"	1960	"male"	"white"	"high school graduate"	"$100,000 - $119,999"	"new hampshire"
"agree a little"	"agree a little"	"agree a little"	"disagree strongly "	"neither agree nor disagree"	"disagree strongly "	"agree a little"	"agree a little"	"disagree strongly "	"agree strongly"	"disagree a little"	"agree a little"	"disagree a little"	"agree a little"	"agree strongly"	"disagree a little"	"disagree strongly "	"agree a little"	"agree strongly"	"agree strongly"	"disagree strongly "	"agree a little"	"disagree a little"	"disagree a little"	"disagree a little"	"agree a little"	"neither agree nor disagree"	"disagree a little"	"neither agree nor disagree"	"disagree a little"	"disagree strongly "	"disagree a little"	"disagree a little"	"disagree a little"	"neither agree nor disagree"	"agree a little"	"disagree a little"	"disagree a little"	"agree a little"	"disagree a little"	"agree strongly"	"neither agree nor disagree"	"disagree a little"	"neither agree nor disagree"	"abortion should be legal with some restrictions."	"strongly oppose"	"health insurance should be voluntary"	"strongly oppose"	"very conservative"	"very much interested"	"i voted for john mccain"	1942	"male"	"white"	"post-grad"	"$80,000 - $99,999"	"florida"
"agree strongly"	"disagree a little"	"agree strongly"	"disagree strongly "	"agree strongly"	"disagree strongly "	"agree a little"	"disagree strongly "	"agree a little"	"agree strongly"	"agree a little"	"disagree strongly "	"agree a little"	"agree a little"	"agree strongly"	"agree strongly"	"agree a little"	"disagree a little"	"agree a little"	"agree strongly"	"disagree strongly "	"agree a little"	"disagree a little"	"agree a little"	"agree strongly"	"agree a little"	"disagree strongly "	"agree a little"	"disagree a little"	"agree strongly"	"disagree strongly "	"agree a little"	"agree a little"	"agree a little"	"disagree strongly "	"agree strongly"	"disagree a little"	"agree strongly"	"disagree a little"	"agree strongly"	"disagree strongly "	"agree a little"	"agree a little"	"agree a little"	"abortion should always be legal."	"strongly favor"	"companies should be required to provide health insurance"	"strongly favor"	"moderate"	"somewhat interested"	"i voted for barack obama"	1977	"male"	"white"	"2 year college"	"$60,000 - $69,999"	"pennsylvania"
"agree strongly"	"neither agree nor disagree"	"agree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"disagree a little"	"agree a little"	"disagree a little"	"disagree a little"	"agree a little"	"neither agree nor disagree"	"disagree strongly "	"agree a little"	"agree a little"	"disagree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"agree strongly"	"neither agree nor disagree"	"neither agree nor disagree"	"agree strongly"	"disagree strongly "	"disagree a little"	"disagree strongly "	"agree strongly"	"agree a little"	"agree a little"	"disagree a little"	"disagree strongly "	"disagree strongly "	"agree strongly"	"agree a little"	"agree a little"	"neither agree nor disagree"	"agree a little"	"disagree strongly "	"agree strongly"	"agree a little"	"neither agree nor disagree"	"disagree strongly "	"agree a little"	"neither agree nor disagree"	"disagree strongly "	"abortion should be legal with some restrictions."	"strongly favor"	"gov should provide everyone with health care"	"strongly favor"	"very liberal"	"very much interested"	"i voted for barack obama"	1947	"female"	"white"	"college graduate"	"$80,000 - $99,999"	"washington"
"agree a little"	"disagree a little"	"agree a little"	"agree strongly"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"neither agree nor disagree"	"agree a little"	"neither agree nor disagree"	"disagree strongly "	"agree a little"	"neither agree nor disagree"	"agree strongly"	"agree a little"	"agree strongly"	"agree strongly"	"neither agree nor disagree"	"agree strongly"	"agree a little"	"agree a little"	"agree strongly"	"agree a little"	"agree a little"	"disagree a little"	"agree a little"	"neither agree nor disagree"	"agree a little"	"agree a little"	"agree strongly"	"agree a little"	"disagree a little"	"neither agree nor disagree"	"disagree a little"	"neither agree nor disagree"	"agree a little"	"disagree a little"	"neither agree nor disagree"	"agree strongly"	"disagree a little"	"disagree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"abortion should always be legal."	"strongly favor"	"companies should be required to provide health insurance"	"strongly favor"	"very liberal"	"somewhat interested"	"i voted for barack obama"	1987	"male"	"white"	"2 year college"	"$20,000 - $24,999"	"california"
"disagree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"disagree a little"	"agree a little"	"agree a little"	"disagree a little"	"agree a little"	"agree a little"	"agree a little"	"disagree a little"	"disagree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"disagree a little"	"disagree a little"	"agree a little"	"disagree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"disagree a little"	"agree a little"	"disagree a little"	"disagree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"disagree a little"	"disagree a little"	"agree a little"	"agree a little"	"abortion should be illegal. it should never be allowed."	"strongly oppose"	"companies should be required to provide health insurance"	"strongly oppose"	"very conservative"	"very much interested"	"i voted for john mccain"	1962	"male"	"white"	"post-grad"	"$40,000 - $49,999"	"massachusetts"
"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"disagree strongly "	"agree strongly"	"neither agree nor disagree"	"agree strongly"	"disagree a little"	"agree strongly"	"agree strongly"	"agree strongly"	"disagree strongly "	"agree strongly"	"neither agree nor disagree"	"agree a little"	"agree a little"	"agree a little"	"disagree a little"	"neither agree nor disagree"	"agree strongly"	"disagree a little"	"agree strongly"	"disagree strongly "	"agree strongly"	"agree a little"	"agree a little"	"disagree a little"	"neither agree nor disagree"	"disagree a little"	"agree strongly"	"disagree a little"	"agree strongly"	"agree a little"	"agree a little"	"disagree strongly "	"agree a little"	"disagree strongly "	"agree a little"	"disagree strongly "	"agree a little"	"disagree strongly "	"neither agree nor disagree"	"disagree a little"	"agree a little"	"abortion should be legal with some restrictions."	"strongly favor"	"gov should provide everyone with health care"	"somewhat favor"	"liberal"	"very much interested"	"i voted for barack obama"	1937	"female"	"white"	"college graduate"	"$150,000 or more"	"ohio"
"agree strongly"	"agree strongly"	"agree a little"	"agree a little"	"agree a little"	"disagree strongly "	"agree strongly"	"agree strongly"	"agree a little"	"agree strongly"	"agree strongly"	"neither agree nor disagree"	"agree a little"	"agree strongly"	"agree strongly"	"agree a little"	"agree strongly"	"agree strongly"	"agree strongly"	"agree strongly"	"disagree strongly "	"disagree strongly "	"agree strongly"	"disagree a little"	"agree strongly"	"agree strongly"	"agree strongly"	"agree strongly"	"agree strongly"	"agree strongly"	"agree a little"	"agree strongly"	"agree a little"	"agree strongly"	"disagree strongly "	"agree a little"	"agree strongly"	"disagree a little"	"disagree a little"	"disagree strongly "	"disagree strongly "	"neither agree nor disagree"	"agree a little"	"agree strongly"	"abortion should be legal with some restrictions."	"strongly favor"	"gov should provide everyone with health care"	"strongly favor"	"very liberal"	"very much interested"	"i voted for barack obama"	1965	"female"	"white"	"some college"	"$30,000 - $39,999"	"california"
"disagree strongly "	"agree a little"	"agree a little"	"disagree strongly "	"agree a little"	"agree a little"	"agree strongly"	"agree a little"	"agree a little"	"neither agree nor disagree"	"agree a little"	"disagree strongly "	"agree strongly"	"agree a little"	"neither agree nor disagree"	"agree a little"	"agree strongly"	"agree strongly"	"neither agree nor disagree"	"agree a little"	"agree strongly"	"agree strongly"	"disagree strongly "	"agree strongly"	"agree a little"	"neither agree nor disagree"	"disagree strongly "	"disagree a little"	"agree a little"	"agree a little"	"agree a little"	"agree strongly"	"agree a little"	"agree strongly"	"disagree strongly "	"neither agree nor disagree"	"disagree strongly "	"agree a little"	"disagree strongly "	"agree a little"	"agree a little"	"agree strongly"	"disagree a little"	"neither agree nor disagree"	"abortion should be legal with some restrictions."	"strongly favor"	"health insurance should be voluntary"	"somewhat favor"	"moderate"	"very much interested"	"i voted for john mccain"	1941	"male"	"white"	"some college"	"$100,000 - $119,999"	"arizona"
"agree strongly"	"disagree a little"	"agree strongly"	"disagree strongly "	"agree strongly"	"disagree strongly "	"agree strongly"	"disagree strongly "	"agree strongly"	"agree strongly"	"agree strongly"	"disagree strongly "	"agree strongly"	"disagree strongly "	"agree strongly"	"agree strongly"	"agree strongly"	"disagree strongly "	"disagree strongly "	"agree strongly"	"disagree strongly "	"agree strongly"	"disagree strongly "	"agree strongly"	"agree strongly"	"agree strongly"	"disagree strongly "	"agree strongly"	"disagree strongly "	"agree strongly"	"disagree strongly "	"agree strongly"	"agree strongly"	"agree strongly"	"disagree strongly "	"agree strongly"	"disagree strongly "	"agree strongly"	"disagree strongly "	"agree strongly"	"agree strongly"	"agree strongly"	"disagree strongly "	"agree strongly"	"abortion should always be legal."	"strongly favor"	"gov should provide everyone with health care"	"strongly favor"	"moderate"	"very much interested"	"i voted for barack obama"	1955	"male"	"hispanic"	"college graduate"	"$80,000 - $99,999"	"nevada"
"neither agree nor disagree"	"agree a little"	"agree a little"	"disagree a little"	"neither agree nor disagree"	"agree a little"	"agree a little"	"disagree a little"	"agree a little"	"agree strongly"	"agree a little"	"neither agree nor disagree"	"agree a little"	"agree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"agree strongly"	"agree a little"	"disagree a little"	"agree a little"	"agree a little"	"agree strongly"	"disagree a little"	"agree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"agree a little"	"agree a little"	"disagree a little"	"agree strongly"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"disagree a little"	"neither agree nor disagree"	"disagree a little"	"neither agree nor disagree"	"agree a little"	"agree a little"	"agree strongly"	"neither agree nor disagree"	"disagree strongly "	"abortion should be illegal. it should never be allowed."	"somewhat favor"	"health insurance should be voluntary"	"somewhat favor"	"conservative"	"very much interested"	"i voted for john mccain"	1979	"male"	"white"	"college graduate"	"$40,000 - $49,999"	"michigan"
"disagree a little"	"agree a little"	"agree strongly"	"disagree a little"	"agree a little"	"agree strongly"	"agree a little"	"neither agree nor disagree"	"disagree a little"	"agree a little"	"agree a little"	"disagree a little"	"agree strongly"	"agree a little"	"neither agree nor disagree"	"agree a little"	"agree a little"	"agree a little"	"neither agree nor disagree"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"agree strongly"	"neither agree nor disagree"	"disagree a little"	"agree strongly"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"agree strongly"	"neither agree nor disagree"	"disagree a little"	"agree a little"	"disagree a little"	"neither agree nor disagree"	"agree a little"	"agree a little"	"disagree a little"	"agree a little"	"agree a little"	"disagree a little"	"abortion should be illegal. it should never be allowed."	"somewhat favor"	"health insurance should be voluntary"	"strongly oppose"	"conservative"	"very much interested"	"i voted for john mccain"	1959	"female"	"white"	"some college"	"$40,000 - $49,999"	"california"
"agree strongly"	"disagree strongly "	"agree strongly"	"disagree strongly "	"neither agree nor disagree"	"agree a little"	"agree strongly"	"disagree strongly "	"agree a little"	"agree a little"	"agree a little"	"disagree strongly "	"agree strongly"	"disagree a little"	"agree a little"	"agree a little"	"agree strongly"	"disagree strongly "	"disagree strongly "	"neither agree nor disagree"	"agree strongly"	"agree strongly"	"disagree strongly "	"agree strongly"	"neither agree nor disagree"	"agree a little"	"disagree strongly "	"agree strongly"	"disagree strongly "	"neither agree nor disagree"	"disagree a little"	"agree strongly"	"agree strongly"	"agree a little"	"agree a little"	"agree strongly"	"disagree strongly "	"agree a little"	"disagree strongly "	"neither agree nor disagree"	"agree a little"	"agree strongly"	"disagree strongly "	"disagree a little"	"abortion should be illegal. it should never be allowed."	"strongly oppose"	"health insurance should be voluntary"	"strongly oppose"	"conservative"	"very much interested"	"i voted for john mccain"	1952	"female"	"white"	"high school graduate"	"$50,000 - $59,999"	"pennsylvania"
"disagree a little"	"neither agree nor disagree"	"agree strongly"	"disagree strongly "	"neither agree nor disagree"	"agree a little"	"agree a little"	"disagree strongly "	"agree a little"	"agree strongly"	"agree a little"	"disagree strongly "	"agree strongly"	"disagree a little"	"agree a little"	"neither agree nor disagree"	"agree a little"	"disagree strongly "	"disagree a little"	"neither agree nor disagree"	"agree a little"	"neither agree nor disagree"	"disagree strongly "	"agree strongly"	"agree a little"	"neither agree nor disagree"	"disagree a little"	"agree strongly"	"disagree a little"	"disagree a little"	"agree a little"	"agree a little"	"agree a little"	"agree strongly"	"disagree a little"	"disagree a little"	"disagree strongly "	"agree strongly"	"disagree a little"	"agree a little"	"disagree a little"	"agree strongly"	"disagree a little"	"disagree a little"	"abortion should be legal with some restrictions."	"somewhat oppose"	"health insurance should be voluntary"	"somewhat oppose"	"moderate"	"very much interested"	"i voted for john mccain"	1952	"male"	"white"	"post-grad"	"$80,000 - $99,999"	"washington"
"disagree a little"	"disagree strongly "	"agree strongly"	"disagree strongly "	"agree a little"	"agree a little"	"agree strongly"	"disagree a little"	"agree strongly"	"agree strongly"	"agree a little"	"disagree strongly "	"agree a little"	"disagree strongly "	"agree strongly"	"agree a little"	"agree strongly"	"agree strongly"	"disagree strongly "	"agree strongly"	"agree a little"	"agree strongly"	"neither agree nor disagree"	"agree strongly"	"agree a little"	"disagree a little"	"disagree strongly "	"agree strongly"	"disagree a little"	"agree strongly"	"agree strongly"	"agree strongly"	"agree strongly"	"agree strongly"	"disagree a little"	"disagree a little"	"disagree strongly "	"agree a little"	"disagree strongly "	"agree strongly"	"disagree strongly "	"agree strongly"	"agree a little"	"agree strongly"	"abortion should always be legal."	"strongly favor"	"gov should provide everyone with health care"	"strongly favor"	"very liberal"	"very much interested"	"i voted for barack obama"	1966	"male"	"black"	"some college"	"$100,000 - $119,999"	"california"
"agree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"disagree strongly "	"neither agree nor disagree"	"disagree a little"	"agree a little"	"disagree a little"	"neither agree nor disagree"	"agree a little"	"neither agree nor disagree"	"disagree a little"	"agree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"agree a little"	"agree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"disagree strongly "	"agree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"disagree a little"	"disagree a little"	"disagree a little"	"neither agree nor disagree"	"disagree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"disagree strongly "	"agree a little"	"disagree a little"	"neither agree nor disagree"	"agree a little"	"agree strongly"	"neither agree nor disagree"	"disagree strongly "	"abortion should be illegal. it should never be allowed."	"strongly oppose"	"companies should be required to provide health insurance"	"strongly favor"	"moderate"	"somewhat interested"	"i voted for john mccain"	1970	"female"	"white"	"post-grad"	"$70,000 - $79,999"	"delaware"
"neither agree nor disagree"	"disagree a little"	"agree a little"	"disagree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"disagree strongly "	"agree strongly"	"agree a little"	"neither agree nor disagree"	"disagree strongly "	"agree strongly"	"disagree a little"	"disagree a little"	"neither agree nor disagree"	"agree strongly"	"disagree strongly "	"disagree strongly "	"agree a little"	"neither agree nor disagree"	"agree a little"	"disagree a little"	"agree strongly"	"agree a little"	"neither agree nor disagree"	"disagree strongly "	"disagree a little"	"disagree a little"	"agree strongly"	"disagree a little"	"agree strongly"	"agree a little"	"neither agree nor disagree"	"disagree a little"	"agree a little"	"disagree a little"	"agree a little"	"disagree strongly "	"agree a little"	"disagree a little"	"agree a little"	"disagree a little"	"disagree a little"	"abortion should only be legal in special circumstances."	"somewhat favor"	"health insurance should be voluntary"	"strongly oppose"	"conservative"	"very much interested"	"i voted for one of the other candidates "	1975	"female"	"black"	"college graduate"	"$80,000 - $99,999"	"washington"
"agree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"disagree strongly "	"neither agree nor disagree"	"agree a little"	"agree strongly"	"disagree a little"	"agree a little"	"agree a little"	"disagree a little"	"agree a little"	"agree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"agree strongly"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"agree strongly"	"agree a little"	"agree strongly"	"agree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"neither agree nor disagree"	"agree a little"	"agree a little"	"neither agree nor disagree"	"agree a little"	"agree a little"	"agree a little"	"disagree a little"	"disagree a little"	"disagree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"disagree a little"	"agree a little"	"abortion should always be legal."	"strongly favor"	"gov should provide everyone with health care"	"somewhat favor"	"moderate"	"very much interested"	"i voted for barack obama"	1968	"male"	"hispanic"	"high school graduate"	"$20,000 - $24,999"	"washington"
"agree strongly"	"agree a little"	"agree strongly"	"disagree strongly "	"agree strongly"	"disagree a little"	"agree a little"	"agree a little"	"neither agree nor disagree"	"agree strongly"	"disagree a little"	"agree a little"	"agree strongly"	"agree a little"	"agree a little"	"neither agree nor disagree"	"agree a little"	"agree strongly"	"disagree a little"	"agree a little"	"disagree a little"	"agree a little"	"agree strongly"	"agree a little"	"agree strongly"	"agree a little"	"disagree a little"	"agree a little"	"agree a little"	"agree strongly"	"agree a little"	"agree a little"	"agree strongly"	"agree a little"	"agree a little"	"agree a little"	"disagree a little"	"disagree a little"	"disagree a little"	"agree a little"	"disagree strongly "	"agree a little"	"agree strongly"	"agree a little"	"abortion should always be legal."	"strongly favor"	"gov should provide everyone with health care"	"strongly favor"	"liberal"	"very much interested"	"i voted for barack obama"	1950	"male"	"white"	"some college"	"$80,000 - $99,999"	"missouri"
"disagree a little"	"disagree a little"	"neither agree nor disagree"	"disagree a little"	"disagree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"disagree a little"	"neither agree nor disagree"	"agree a little"	"neither agree nor disagree"	"disagree a little"	"disagree a little"	"agree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"disagree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"neither agree nor disagree"	"disagree a little"	"neither agree nor disagree"	"agree a little"	"agree a little"	"neither agree nor disagree"	"agree a little"	"neither agree nor disagree"	"disagree a little"	"neither agree nor disagree"	"disagree a little"	"neither agree nor disagree"	"agree a little"	"agree a little"	"agree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"abortion should be illegal. it should never be allowed."	"somewhat oppose"	"health insurance should be voluntary"	"somewhat oppose"	"very conservative"	"very much interested"	"i voted for john mccain"	1951	"male"	"white"	"college graduate"	"$80,000 - $99,999"	"ohio"
"agree a little"	"neither agree nor disagree"	"agree a little"	"disagree strongly "	"agree a little"	"agree strongly"	"neither agree nor disagree"	"agree a little"	"neither agree nor disagree"	"agree strongly"	"disagree a little"	"disagree a little"	"agree strongly"	"agree strongly"	"agree a little"	"disagree a little"	"agree strongly"	"disagree a little"	"agree strongly"	"agree strongly"	"agree a little"	"neither agree nor disagree"	"disagree strongly "	"agree strongly"	"agree a little"	"agree strongly"	"agree strongly"	"agree strongly"	"neither agree nor disagree"	"disagree a little"	"agree a little"	"neither agree nor disagree"	"agree strongly"	"agree strongly"	"disagree strongly "	"disagree a little"	"neither agree nor disagree"	"agree a little"	"disagree a little"	"agree strongly"	"agree strongly"	"disagree a little"	"disagree strongly "	"disagree strongly "	"abortion should only be legal in special circumstances."	"strongly oppose"	"companies should be required to provide health insurance"	"somewhat oppose"	"conservative"	"very much interested"	"i voted for john mccain"	1922	"male"	"white"	"college graduate"	"$70,000 - $79,999"	"louisiana"
"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"disagree strongly "	"agree a little"	"neither agree nor disagree"	"agree strongly"	"agree a little"	"agree a little"	"agree a little"	"neither agree nor disagree"	"disagree a little"	"agree strongly"	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"agree a little"	"neither agree nor disagree"	"disagree a little"	"agree a little"	"neither agree nor disagree"	"agree a little"	"disagree a little"	"agree a little"	"agree a little"	"neither agree nor disagree"	"disagree a little"	"agree a little"	"neither agree nor disagree"	"agree strongly"	"neither agree nor disagree"	"agree a little"	"agree a little"	"agree a little"	"neither agree nor disagree"	"agree a little"	"disagree a little"	"agree a little"	"neither agree nor disagree"	"agree a little"	"disagree strongly "	"agree strongly"	"agree a little"	"agree a little"	"abortion should be legal with some restrictions."	"somewhat favor"	"gov should provide everyone with health care"	"somewhat favor"	"liberal"	"very much interested"	"i voted for barack obama"	1936	"male"	"white"	"college graduate"	"$120,000 - $149,999"	"south carolina"
"agree strongly"	"neither agree nor disagree"	"agree strongly"	"agree a little"	"agree strongly"	"neither agree nor disagree"	"neither agree nor disagree"	"disagree a little"	"disagree strongly "	"agree strongly"	"agree a little"	"agree a little"	"agree strongly"	"agree strongly"	"agree strongly"	"agree strongly"	"agree strongly"	"agree strongly"	"agree strongly"	"agree strongly"	"neither agree nor disagree"	"agree strongly"	"disagree strongly "	"disagree a little"	"agree strongly"	"agree strongly"	"disagree a little"	"agree strongly"	"agree a little"	"agree strongly"	"disagree strongly "	"agree a little"	"agree strongly"	"disagree a little"	"disagree strongly "	"agree a little"	"neither agree nor disagree"	"agree strongly"	"agree a little"	"agree strongly"	"disagree strongly "	"agree a little"	"neither agree nor disagree"	"agree strongly"	"abortion should be legal with some restrictions."	"strongly favor"	"companies should be required to provide health insurance"	"somewhat favor"	"moderate"	"very much interested"	"i voted for barack obama"	1944	"female"	"white"	"some college"	"$80,000 - $99,999"	"florida"
"agree a little"	"neither agree nor disagree"	"agree a little"	"disagree strongly "	"agree a little"	"disagree strongly "	"disagree a little"	"agree a little"	"agree a little"	"agree a little"	"neither agree nor disagree"	"disagree strongly "	"agree strongly"	"agree a little"	"neither agree nor disagree"	"agree a little"	"disagree a little"	"agree a little"	"neither agree nor disagree"	"agree a little"	"disagree a little"	"agree a little"	"disagree a little"	"agree strongly"	"agree a little"	"agree a little"	"neither agree nor disagree"	"disagree a little"	"agree a little"	"agree a little"	"disagree a little"	"disagree a little"	"neither agree nor disagree"	"agree strongly"	"neither agree nor disagree"	"agree a little"	"agree a little"	"agree a little"	"disagree a little"	"agree a little"	"disagree a little"	"neither agree nor disagree"	"agree a little"	"neither agree nor disagree"	"abortion should only be legal in special circumstances."	"somewhat favor"	"health insurance should be voluntary"	"strongly oppose"	"conservative"	"very much interested"	"i voted for john mccain"	1965	"male"	"white"	"some college"	"$30,000 - $39,999"	"florida"
"agree strongly"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"disagree a little"	"agree strongly"	"disagree a little"	"disagree a little"	"agree strongly"	"agree a little"	"disagree a little"	"agree strongly"	"agree strongly"	"agree strongly"	"agree strongly"	"agree strongly"	"agree a little"	"agree strongly"	"agree strongly"	"disagree a little"	"disagree a little"	"disagree strongly "	"disagree a little"	"agree a little"	"agree a little"	"disagree strongly "	"agree a little"	"agree a little"	"agree strongly"	"disagree a little"	"agree strongly"	"agree a little"	"disagree a little"	"agree a little"	"agree strongly"	"agree a little"	"agree a little"	"agree a little"	"agree strongly"	"disagree strongly "	"agree a little"	"agree a little"	"agree strongly"	"abortion should be illegal. it should never be allowed."	"strongly oppose"	"health insurance should be voluntary"	"somewhat oppose"	"conservative"	"very much interested"	"i voted for john mccain"	1956	"male"	"white"	"college graduate"	"$60,000 - $69,999"	"missouri"
"agree a little"	"disagree strongly "	"agree strongly"	"disagree strongly "	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"neither agree nor disagree"	"disagree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"disagree strongly "	"agree strongly"	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"disagree strongly "	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"agree strongly"	"disagree a little"	"agree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"disagree a little"	"agree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"agree a little"	"neither agree nor disagree"	"disagree a little"	"neither agree nor disagree"	"disagree strongly "	"agree strongly"	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"disagree strongly "	"abortion should only be legal in special circumstances."	"strongly oppose"	"companies should be required to provide health insurance"	"strongly oppose"	"very conservative"	"somewhat interested"	"i voted for john mccain"	1944	"male"	"white"	"2 year college"	"$70,000 - $79,999"	"georgia"
"disagree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"disagree a little"	"agree a little"	"agree a little"	"agree strongly"	"neither agree nor disagree"	"disagree a little"	"agree a little"	"neither agree nor disagree"	"disagree a little"	"agree strongly"	"agree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"disagree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"disagree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"disagree a little"	"disagree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"neither agree nor disagree"	"agree strongly"	"neither agree nor disagree"	"disagree a little"	"abortion should be illegal. it should never be allowed."	"strongly oppose"	"gov should provide everyone with health care"	"strongly favor"	"moderate"	"somewhat interested"	"i voted for barack obama"	1947	"male"	"hispanic"	"some college"	"$50,000 - $59,999"	"california"
"agree strongly"	"neither agree nor disagree"	"agree strongly"	"disagree a little"	"agree a little"	"disagree a little"	"agree a little"	"disagree strongly "	"agree a little"	"agree strongly"	"agree a little"	"disagree strongly "	"agree strongly"	"agree a little"	"agree a little"	"agree a little"	"agree strongly"	"disagree strongly "	"agree a little"	"disagree a little"	"neither agree nor disagree"	"agree a little"	"disagree strongly "	"agree strongly"	"agree a little"	"neither agree nor disagree"	"disagree strongly "	"agree strongly"	"disagree a little"	"agree a little"	"disagree a little"	"agree strongly"	"agree strongly"	"agree a little"	"agree a little"	"agree strongly"	"disagree a little"	"agree strongly"	"agree a little"	"agree a little"	"disagree a little"	"agree strongly"	"disagree strongly "	"disagree a little"	"abortion should be illegal. it should never be allowed."	"strongly oppose"	"health insurance should be voluntary"	"somewhat favor"	"very conservative"	"very much interested"	"i voted for john mccain"	1948	"female"	"white"	"post-grad"	"$70,000 - $79,999"	"mississippi"
